latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
35.90752,-121.39445,322.08,1.91,1.35,2026-08-27,0357,T,100,6.1NRT,298.04,42.34,N
35.90321,-121.41653,328.38,1.91,1.35,2026-08-27,0357,T,100,6.1NRT,298.43,60.8,N
35.91362,-121.40361,326.01,1.91,1.35,2026-08-27,0357,T,100,6.1NRT,298.04,53.57,N
35.90953,-121.4238,316.11,1.91,1.35,2026-08-27,0357,T,91,6.1NRT,297.38,28.02,N
36.20945,-121.63821,310.78,1.95,1.36,2026-08-27,0357,T,73,6.1NRT,296.17,18.9,N
36.22108,-121.64185,314.11,1.95,1.36,2026-08-27,0357,T,78,6.1NRT,296.29,24.53,N
36.23277,-121.64524,307.54,1.95,1.36,2026-08-27,0357,T,32,6.1NRT,296.42,12.41,N
-2.26255,110.13198,327.63,1,1,2026-08-27,0120,T,0,6.1NRT,295.15,20.99,D
-8.13164,118.11858,324.63,3.78,1.82,2026-08-27,0122,T,0,6.1NRT,297.34,139.51,D
32.26101,47.25246,316.36,1,1,2026-08-27,0050,A,57,6.1NRT,299.15,11.9,N
32.10556,47.55066,314.4,1,1,2026-08-27,0050,A,69,6.1NRT,302.61,8.81,N
