latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
41.93654,-117.36444,338.5,0.39,0.36,2026-08-27,1000,N,nominal,2.0NRT,291.75,8.71,N
41.93579,-117.35986,296.99,0.39,0.36,2026-08-27,1000,N,nominal,2.0NRT,285.35,2.26,N
41.93326,-117.36539,347.69,0.39,0.36,2026-08-27,1000,N,nominal,2.0NRT,291.6,6.15,N
41.93251,-117.36082,309.19,0.39,0.36,2026-08-27,1000,N,nominal,2.0NRT,286.25,1.63,N
41.92999,-117.36633,339.14,0.39,0.36,2026-08-27,1000,N,nominal,2.0NRT,287.59,6.15,N
41.93074,-117.3709,312.06,0.39,0.36,2026-08-27,1000,N,nominal,2.0NRT,285.34,6.15,N
41.92924,-117.36176,296.97,0.39,0.36,2026-08-27,1000,N,nominal,2.0NRT,285.4,1.63,N
-16.65671,178.77907,325.45,0.37,0.58,2026-08-27,0230,N,low,2.0NRT,295.85,1.58,D
0.50981,127.89661,327.34,0.56,0.69,2026-08-27,0417,N,low,2.0NRT,297.74,5.4,D
-1.44276,29.18023,367,0.47,0.48,2026-08-27,0003,N,high,2.0NRT,301.78,14.48,N
-1.44658,29.17589,367,0.47,0.48,2026-08-27,0003,N,high,2.0NRT,289.27,27.24,N
-16.77568,178.64537,326.13,0.37,0.58,2026-08-27,0230,N,nominal,2.0NRT,294.95,3.47,D
-16.76061,178.69104,330.53,0.37,0.58,2026-08-27,0230,N,nominal,2.0NRT,297.32,3.68,D
